Entity,Code,Year,"Hospital beds per 1,000 people"
Monaco,MCO,2014,21.99
United States Virgin Islands,VIR,1996,18.68
Greenland,GRL,1970,14.3534
South Korea,KOR,2022,12.81
North Korea,PRK,2018,12.8
Japan,JPN,2022,12.59
Channel Islands,OWID_CIS,1981,10.5951
Belarus,BLR,2023,9.77
Mongolia,MNG,2023,8.58
Bulgaria,BGR,2023,8.2
Germany,DEU,2023,7.55
Romania,ROU,2022,7.23
Russia,RUS,2023,6.81
Austria,AUT,2022,6.7
Hungary,HUN,2022,6.63
Czechia,CZE,2022,6.54
Kazakhstan,KAZ,2020,6.54
Barbados,BRB,2023,6.4
Bermuda,BMU,1996,6.3
Ukraine,UKR,2022,6.14
