Entity,Code,Year,Diabetes prevalence (% of adults 20-79)
Pakistan,PAK,2024,31.4
Marshall Islands,MHL,2024,25.7
Kuwait,KWT,2024,25.6
Samoa,WSM,2024,25.4
Kiribati,KIR,2024,24.6
Qatar,QAT,2024,24.6
Saudi Arabia,SAU,2024,23.1
French Polynesia,PYF,2024,22.8
Egypt,EGY,2024,22.4
Bahrain,BHR,2024,22.1
New Caledonia,NCL,2024,22.0
Nauru,NRU,2024,21.8
Malaysia,MYS,2024,21.1
United Arab Emirates,ARE,2024,20.7
Jordan,JOR,2024,20.5
Guam,GUM,2024,20.3
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2024,20.137278
Mauritius,MUS,2024,20.1
Vanuatu,VUT,2024,19.7
Tonga,TON,2024,19.6
